,Tracker ID,TrackerLOC,ParentID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Chinese Name,Other names,Owner,Parent,Capacity (MW),Status,Year,RETIRED,Planned Retire,Combustion technology,Coal type,Coal source,Location,"Local area (taluk, county)","Major area (prefecture, district)",Subregion,Region,Previous Region,Latitude,Longitude,Accuracy,Permits,Captive,Captive industry use,Captive residential use,Alternate Fuel,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Remaining plant lifetime (years),bws_score,coal_price,Predicted_HR
1509,G108831,L102360,P101194,https://www.gem.wiki/Sasan_Ultra_Mega_Power_Project,India,Madhya Pradesh,Unit 1,Sasan Ultra Mega Power Project,,,Reliance Power Ltd,Reliance Group,660.0,operating,2013.0,,,supercritical,unknown,"Moher coal mine, Moher-Amlori Extension coal mine",Sasan,Singrauli,Singrauli,Southern Asia,Asia,South Asia,23.9775233,82.6264733,exact,EC 21 July 2009 at http://bit.ly/1i76Wmy,,,,,8409,"96,100",53%,2.6,81.0,31,3.71304664842659,1.72,10.874580708515197
1510,G108832,L102360,P101194,https://www.gem.wiki/Sasan_Ultra_Mega_Power_Project,India,Madhya Pradesh,Unit 2,Sasan Ultra Mega Power Project,,,Reliance Power Ltd,Reliance Group,660.0,operating,2014.0,,,supercritical,unknown,"Moher coal mine, Moher-Amlori Extension coal mine",Sasan,,Singrauli,Southern Asia,Asia,South Asia,23.9775233,82.6264733,exact,EC 21 July 2009 at http://bit.ly/1i76Wmy,,,,,8409,"96,100",53%,2.6,83.6,32,3.71304664842659,1.72,10.611918057559663
1511,G108833,L102360,P101194,https://www.gem.wiki/Sasan_Ultra_Mega_Power_Project,India,Madhya Pradesh,Unit 3,Sasan Ultra Mega Power Project,,,Reliance Power Ltd,Reliance Group,660.0,operating,2014.0,,,supercritical,unknown,"Moher coal mine, Moher-Amlori Extension coal mine",Sasan,,Singrauli,Southern Asia,Asia,South Asia,23.9775233,82.6264733,exact,EC 21 July 2009 at http://bit.ly/1i76Wmy,,,,,8409,"96,100",53%,2.6,83.6,32,3.71304664842659,1.72,10.611918057559663
1512,G108834,L102360,P101194,https://www.gem.wiki/Sasan_Ultra_Mega_Power_Project,India,Madhya Pradesh,Unit 4,Sasan Ultra Mega Power Project,,,Reliance Power Ltd,Reliance Group,660.0,operating,2014.0,,,supercritical,unknown,"Moher coal mine, Moher-Amlori Extension coal mine",Sasan,,Singrauli,Southern Asia,Asia,South Asia,23.9775233,82.6264733,exact,EC 21 July 2009 at http://bit.ly/1i76Wmy,,,,,8409,"96,100",53%,2.6,83.6,32,3.71304664842659,1.72,10.611918057559663
1513,G108835,L102360,P101194,https://www.gem.wiki/Sasan_Ultra_Mega_Power_Project,India,Madhya Pradesh,Unit 5,Sasan Ultra Mega Power Project,,,Reliance Power Ltd,Reliance Group,660.0,operating,2014.0,,,supercritical,unknown,"Moher coal mine, Moher-Amlori Extension coal mine",Sasan,,Singrauli,Southern Asia,Asia,South Asia,23.9775233,82.6264733,exact,EC 21 July 2009 at http://bit.ly/1i76Wmy,,,,,8409,"96,100",53%,2.6,83.6,32,3.71304664842659,1.72,10.611918057559663
1514,G108836,L102360,P101194,https://www.gem.wiki/Sasan_Ultra_Mega_Power_Project,India,Madhya Pradesh,Unit 6,Sasan Ultra Mega Power Project,,,Reliance Power Ltd,Reliance Group,660.0,operating,2015.0,,,supercritical,unknown,"Moher coal mine, Moher-Amlori Extension coal mine",Sasan,,Singrauli,Southern Asia,Asia,South Asia,23.9775233,82.6264733,exact,EC 21 July 2009 at http://bit.ly/1i76Wmy,,,,,8409,"96,100",53%,2.6,86.2,33,3.71304664842659,1.72,10.546605173724792
1555,G109308,L102366,P100965,https://www.gem.wiki/Shree_Singaji_Thermal_Power_Project,India,Madhya Pradesh,Stage II Unit 3,Shree Singaji Thermal Power Project,,Dongalia power project,Madhya Pradesh Power Generating Co Ltd,MPPGCL,660.0,operating,2018.0,,,supercritical,unknown,Gondbahera-Ujjaini coal block,Dongalia,,Khandwa,Southern Asia,Asia,South Asia,22.0991399,76.5317273,exact,,,,,,8409,"96,100",53%,2.6,94.1,36,4.90875780172022,1.72,10.537015352072665
1556,G109309,L102366,P100965,https://www.gem.wiki/Shree_Singaji_Thermal_Power_Project,India,Madhya Pradesh,Stage II Unit 4,Shree Singaji Thermal Power Project,,Dongalia power project,Madhya Pradesh Power Generating Co Ltd,MPPGCL,660.0,operating,2019.0,,,supercritical,unknown,Gondbahera-Ujjaini coal block,Dongalia,,Khandwa,Southern Asia,Asia,South Asia,22.0991399,76.5317273,exact,,,,,,8409,"96,100",53%,2.6,96.7,37,4.90875780172022,1.72,10.47564543889212
1596,G109450,L102185,P101047,https://www.gem.wiki/Sipat_power_station,India,Chhattisgarh,Unit 1,Sipat power station,,Rajiv Gandhi STPS power station,NTPC Ltd,NTPC,660.0,operating,2011.0,,,supercritical,unknown,Domestic,Sipat,,Bilaspur,Southern Asia,Asia,South Asia,22.1316619,82.2903496,exact,,,,,,9250,"96,100",53%,2.9,83.3,29,3.43985463530556,1.59,10.852464704170208
1597,G109451,L102185,P101047,https://www.gem.wiki/Sipat_power_station,India,Chhattisgarh,Unit 2,Sipat power station,,Rajiv Gandhi STPS power station,NTPC Ltd,NTPC,660.0,operating,2011.0,,,supercritical,unknown,Domestic,Sipat,,Bilaspur,Southern Asia,Asia,South Asia,22.1316619,82.2903496,exact,,,,,,9250,"96,100",53%,2.9,83.3,29,3.43985463530556,1.59,10.852464704170208
