,Tracker ID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Capacity (MW),Year,Combustion technology,Status,Latitude,Longitude,Heat rate (Btu per kWh),Remaining plant lifetime (years),bws_score,coal_price,Predicted_HR_50.0,Predicted_HR_70.0,Predicted_HR_90.0
71,G100260,https://www.gem.wiki/Anpara-D_power_station,India,Uttar Pradesh,Unit 1,Anpara-D power station,500.0,2015.0,subcritical,operating,24.1962622,82.8063422,8702,33,3.71304664842659,2.04,11.291496671205213,11.210088150243278,11.055731150137037
72,G100261,https://www.gem.wiki/Anpara-D_power_station,India,Uttar Pradesh,Unit 2,Anpara-D power station,500.0,2016.0,subcritical,operating,24.1962622,82.8063422,8702,34,3.71304664842659,2.04,11.294899402736043,11.185128858155396,11.050633480458087
76,G100280,https://www.gem.wiki/Anuppur_Thermal_Power_Project,India,Madhya Pradesh,Phase 1 Unit 1,Anuppur Thermal Power Project,600.0,2015.0,subcritical,operating,23.073731,81.784286,8702,33,3.71304664842659,1.72,11.078958431821814,10.925603784625507,10.84928240722428
77,G100281,https://www.gem.wiki/Anuppur_Thermal_Power_Project,India,Madhya Pradesh,Phase 1 Unit 2,Anuppur Thermal Power Project,600.0,2016.0,subcritical,operating,23.073731,81.784286,8702,34,3.71304664842659,1.72,11.06040627451232,10.904467571638692,10.842591082076396
80,G100312,https://www.gem.wiki/Arasmeta_Cement_Plant_power_station,India,Chhattisgarh,Unit 1,Arasmeta Cement Plant power station,43.0,2008.0,subcritical,operating,21.966291,82.340412,11313,26,3.43985463530556,1.59,13.3202308693953,13.036155595343057,13.08251133084709
81,G100313,https://www.gem.wiki/Arasmeta_Cement_Plant_power_station,India,Chhattisgarh,Unit 2,Arasmeta Cement Plant power station,43.0,2011.0,subcritical,operating,21.966291,82.340412,11313,29,3.43985463530556,1.59,13.306644280778844,12.992313660966147,13.01837449637598
85,G100368,https://www.gem.wiki/Asansol_Crescent_power_station,India,West Bengal,Unit 1,Asansol Crescent power station,40.0,2007.0,subcritical,operating,23.65,88.13,11313,25,0.0,1.99,13.414010997743564,13.150655306334976,13.201016227146525
109,G100449,https://www.gem.wiki/Bakreswar_Thermal_Power_Station,India,West Bengal,Unit 1,Bakreswar Thermal Power Station,210.0,1999.0,subcritical,operating,23.8292205,87.451034,12183,17,0.0,1.99,13.140014906518214,12.889385314420272,12.578450167013699
110,G100450,https://www.gem.wiki/Bakreswar_Thermal_Power_Station,India,West Bengal,Unit 2,Bakreswar Thermal Power Station,210.0,2000.0,subcritical,operating,23.8292205,87.451034,12183,18,0.0,1.99,13.106071511113607,12.892744000516567,12.549381568711357
111,G100451,https://www.gem.wiki/Bakreswar_Thermal_Power_Station,India,West Bengal,Unit 3,Bakreswar Thermal Power Station,210.0,2001.0,subcritical,operating,23.8292205,87.451034,12183,19,0.0,1.99,13.066527811121572,12.859183307358158,12.5541775955073
112,G100452,https://www.gem.wiki/Bakreswar_Thermal_Power_Station,India,West Bengal,Unit 4,Bakreswar Thermal Power Station,210.0,2007.0,subcritical,operating,23.8292205,87.451034,11313,25,0.0,1.99,12.883032530342316,12.658430676095577,12.473637186659639
113,G100453,https://www.gem.wiki/Bakreswar_Thermal_Power_Station,India,West Bengal,Unit 5,Bakreswar Thermal Power Station,210.0,2009.0,subcritical,operating,23.8292205,87.451034,11313,27,0.0,1.99,12.833814842365843,12.607311347802227,12.418346582254214
118,G100460,https://www.gem.wiki/Balaji_Cement_power_station,India,Andhra Pradesh,Unit 1,Balaji Cement power station,35.0,2009.0,subcritical,operating,16.283333,81.216667,11313,27,2.55263661667297,3.43,13.489207668192726,13.148920689939839,13.130718997443573
121,G100463,https://www.gem.wiki/BALCO_Korba_power_station,India,Chhattisgarh,Phase 1 Unit 1,BALCO Korba power station,67.5,1988.0,subcritical,operating,22.3930944,82.7439443,12618,6,2.7491501281515,1.59,13.911901448948077,13.722426497212789,13.425018194598547
122,G100464,https://www.gem.wiki/BALCO_Korba_power_station,India,Chhattisgarh,Phase 1 Unit 2,BALCO Korba power station,67.5,1988.0,subcritical,operating,22.3930944,82.7439443,12618,6,2.7491501281515,1.59,13.911901448948077,13.722426497212789,13.425018194598547
123,G100465,https://www.gem.wiki/BALCO_Korba_power_station,India,Chhattisgarh,Phase 1 Unit 3,BALCO Korba power station,67.5,1988.0,subcritical,operating,22.3930944,82.7439443,12618,6,2.7491501281515,1.59,13.911901448948077,13.722426497212789,13.425018194598547
124,G100466,https://www.gem.wiki/BALCO_Korba_power_station,India,Chhattisgarh,Phase 1 Unit 4,BALCO Korba power station,67.5,1988.0,subcritical,operating,22.3930944,82.7439443,12618,6,2.7491501281515,1.59,13.911901448948077,13.722426497212789,13.425018194598547
125,G100467,https://www.gem.wiki/BALCO_Korba_power_station,India,Chhattisgarh,Phase 2 Unit 1,BALCO Korba power station,135.0,2005.0,subcritical,operating,22.3978019,82.7401642,11313,23,2.7491501281515,1.59,13.1888516035948,12.925654290404987,12.935308275528177
126,G100468,https://www.gem.wiki/BALCO_Korba_power_station,India,Chhattisgarh,Phase 2 Unit 2,BALCO Korba power station,135.0,2005.0,subcritical,operating,22.3978019,82.7401642,11313,23,2.7491501281515,1.59,13.1888516035948,12.925654290404987,12.935308275528177
127,G100469,https://www.gem.wiki/BALCO_Korba_power_station,India,Chhattisgarh,Phase 2 Unit 3,BALCO Korba power station,135.0,2006.0,subcritical,operating,22.3978019,82.7401642,11313,24,2.7491501281515,1.59,13.148412977022803,12.822683766809325,12.895118400571926
