 year,Latitude,Longitude,Maximum Temperature
2020,24.5,89.5,38.9793
2020,24.5,90.5,31.5503
2020,24.5,91.5,32.8186
2020,24.5,92.5,36.1723
2020,24.5,93.5,36.687
2020,24.5,94.5,36.623
2020,24.5,95.5,36.0354
2020,24.5,96.5,34.8226
2020,24.5,97.5,34.6885
2020,25.5,67.5,39.0028
2020,25.5,68.5,43.2029
2020,25.5,69.5,43.2645
2020,25.5,70.5,44.932
2020,25.5,71.5,42.7972
2020,25.5,72.5,42.0608
2020,25.5,73.5,43.1518
2020,25.5,74.5,44.4686
2020,25.5,75.5,45.9766
2020,25.5,76.5,45.966
2020,25.5,77.5,45.7061
2020,25.5,78.5,46.4369
2020,25.5,79.5,46.7916
2020,25.5,80.5,46.4389
2020,25.5,81.5,46.1029
2020,25.5,82.5,44.8532
2020,25.5,83.5,44.6504
2020,25.5,84.5,41.9078
2020,25.5,85.5,39.9452
2020,25.5,86.5,38.2492
2020,25.5,87.5,37.7832
2020,25.5,88.5,37.016
2020,25.5,89.5,35.1206
2020,25.5,90.5,33.1571
2020,25.5,91.5,33.1826
2020,25.5,92.5,35.1513
2020,25.5,93.5,36.6921
2020,25.5,94.5,35.8867
2020,25.5,95.5,34.129
2020,25.5,96.5,34.7807
2020,25.5,97.5,34.6006
2020,26.5,67.5,41.8029
2020,26.5,68.5,41.8359
2020,26.5,69.5,44.4193
2020,26.5,70.5,46.1438
2020,26.5,71.5,46.0208
2020,26.5,72.5,45.9746
2020,26.5,73.5,44.7781
2020,26.5,74.5,45.037
2020,26.5,75.5,45.2498
2020,26.5,76.5,46.0089
2020,26.5,77.5,46.5821
2020,26.5,78.5,46.7163
2020,26.5,79.5,44.897
2020,26.5,80.5,44.1308
2020,26.5,81.5,43.9184
2020,26.5,82.5,43.7321
2020,26.5,83.5,43.5566
2020,26.5,84.5,40.8349
2020,26.5,85.5,39.3862
2020,26.5,86.5,37.3744
2020,26.5,87.5,34.8705
2020,26.5,88.5,33.1428
2020,26.5,89.5,36.4316
2020,26.5,90.5,36.0037
2020,26.5,91.5,36.5054
2020,26.5,92.5,37.052
2020,26.5,93.5,37.7752
2020,26.5,94.5,37.5052
2020,26.5,95.5,37.8318
2020,26.5,96.5,35.4626
2020,26.5,97.5,35.4651
2020,27.5,67.5,42.4402
2020,27.5,68.5,44.3708
2020,27.5,69.5,46.0541
2020,27.5,70.5,46.6865
2020,27.5,71.5,46.6871
2020,27.5,72.5,46.4777
2020,27.5,73.5,45.3474
2020,27.5,74.5,46.5125
2020,27.5,75.5,45.9569
2020,27.5,76.5,46.8636
2020,27.5,77.5,47.4317
2020,27.5,78.5,45.455
2020,27.5,79.5,44.3956
2020,27.5,80.5,43.9173
2020,27.5,81.5,43.071
2020,27.5,82.5,43.243
2020,27.5,83.5,41.452
2020,27.5,84.5,40.4375
2020,27.5,85.5,38.6806
2020,27.5,86.5,38.128
2020,27.5,87.5,30.1095
2020,27.5,88.5,30.0451
2020,27.5,89.5,29.9176
2020,27.5,90.5,32.7784
2020,27.5,91.5,37.0381
2020,27.5,92.5,36
2020,27.5,93.5,37.3121
2020,27.5,94.5,37.8307
2020,27.5,95.5,37.4044
2020,27.5,96.5,35.4303
2020,27.5,97.5,35.429
2020,28.5,67.5,44.8622
2020,28.5,68.5,44.6028
2020,28.5,69.5,46.6886
2020,28.5,70.5,46.6944
2020,28.5,71.5,47.167
2020,28.5,72.5,47.2098
2020,28.5,73.5,47.7803
2020,28.5,74.5,47.4074
2020,28.5,75.5,47.722
2020,28.5,76.5,46.0318
2020,28.5,77.5,45.7695
2020,28.5,78.5,42.8718
2020,28.5,79.5,42.8445
2020,28.5,80.5,42.8548
2020,28.5,81.5,43.22
2020,28.5,82.5,43.2959
2020,28.5,83.5,43.7499
2020,28.5,84.5,40.3871
2020,28.5,85.5,36.2015
2020,28.5,86.5,27.3645
2020,28.5,87.5,26.5464
