Tracker ID,TrackerLOC,ParentID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Chinese Name,Other names,Owner,Parent,Capacity (MW),Status,Year,RETIRED,Planned Retire,Combustion technology,Coal type,Coal source,Location,"Local area (taluk, county)","Major area (prefecture, district)",Subregion,Region,Previous Region,Latitude,Longitude,Accuracy,Permits,Captive,Captive industry use,Captive residential use,Alternate Fuel,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Remaining plant lifetime (years)
G105045,L102471,P100804,https://www.gem.wiki/Jharsuguda_Ind-Barath_power_station,India,Odisha,Phase I Unit 1,Jharsuguda Ind-Barath power station,,Sahajbahal,Ind-Barath Energies Ltd,JSW Group,350,operating,2016,,,subcritical,unknown,,Sahajbahal,Lakhanpur,Jharsaguda,Southern Asia,Asia,South Asia,21.6579417,83.9195126,exact,EC 30 Nov 2009 at http://bit.ly/1fE0z8h,,,,,9572,"96,100",53%,1.6,53.6,34
G105046,L102471,P100804,https://www.gem.wiki/Jharsuguda_Ind-Barath_power_station,India,Odisha,Phase I Unit 2,Jharsuguda Ind-Barath power station,,Sahajbahal,Ind-Barath Energies Ltd,JSW Group,350,construction,,,,subcritical,unknown,,Sahajbahal,Lakhanpur,Jharsaguda,Southern Asia,Asia,South Asia,21.6579417,83.9195126,exact,EC 30 Nov 2009 at http://bit.ly/1fE0z8h,,,,,9572,"96,100",53%,1.6,63.1,40
G105047,L102471,P100804,https://www.gem.wiki/Jharsuguda_Ind-Barath_power_station,India,Odisha,Phase II,Jharsuguda Ind-Barath power station,,Sahajbahal,Ind-Barath Energies Ltd,JSW Group,660,cancelled,,,,supercritical,unknown,,Sahajbahal,Lakhanpur,Jharsaguda,Southern Asia,Asia,South Asia,21.6579417,83.9195126,exact,TOR 10 Feb 2010 at http://bit.ly/1q7kqXm,,,,,8409,"96,100",53%,2.6,104.5,40
G105048,L102472,P101556,https://www.gem.wiki/Jharsuguda_Sterlite_power_station,India,Odisha,Unit 1,Jharsuguda Sterlite power station,,,Sterlite Energy Ltd,Vedanta Resources,600,operating,2010,,,subcritical,bituminous,,Brundamal,Jharsuguda,Jharsuguda,Southern Asia,Asia,South Asia,21.8157426,84.0420359,exact,EC 7 Dec 2007 at http://bit.ly/1hCAQwS,aluminum,power,,,9572,"94,600",53%,2.7,74.5,28
G105049,L102472,P101556,https://www.gem.wiki/Jharsuguda_Sterlite_power_station,India,Odisha,Unit 2,Jharsuguda Sterlite power station,,,Sterlite Energy Ltd,Vedanta Resources,600,operating,2010,,,subcritical,bituminous,,Brundamal,Jharsuguda,Jharsuguda,Southern Asia,Asia,South Asia,21.8157426,84.0420359,exact,EC 7 Dec 2007 at http://bit.ly/1hCAQwS,,,,,9572,"94,600",53%,2.7,74.5,28
G105050,L102472,P101556,https://www.gem.wiki/Jharsuguda_Sterlite_power_station,India,Odisha,Unit 3,Jharsuguda Sterlite power station,,,Sterlite Energy Ltd,Vedanta Resources,600,operating,2011,,,subcritical,bituminous,,Brundamal,Jharsuguda,Jharsuguda,Southern Asia,Asia,South Asia,21.8157426,84.0420359,exact,EC 7 Dec 2007 at http://bit.ly/1hCAQwS,,,,,9572,"94,600",53%,2.7,77.2,29
G105051,L102472,P101556,https://www.gem.wiki/Jharsuguda_Sterlite_power_station,India,Odisha,Unit 4,Jharsuguda Sterlite power station,,,Sterlite Energy Ltd,Vedanta Resources,600,operating,2012,,,subcritical,bituminous,,Brundamal,Jharsuguda,Jharsuguda,Southern Asia,Asia,South Asia,21.8157426,84.0420359,exact,EC 7 Dec 2007 at http://bit.ly/1hCAQwS,,,,,9572,"94,600",53%,2.7,79.8,30
G105034,L102045,P101436,https://www.gem.wiki/Jharupudi_power_station,India,Andhra Pradesh,,Jharupudi power station,,,Suryachakra Group,Suryachakra Group,140,cancelled,,,,unknown,unknown,"70% imported, 30% indigenous",Jharupudi,,Srikakulam,Southern Asia,Asia,South Asia,18.3,83.9,approximate,TOR 2 June 2009 at http://bit.ly/1joHz3I,,,,,10326,"96,100",53%,0.7,27.2,40
G105194,L102267,P100789,https://www.gem.wiki/Jindal_Patratu_captive_power_station,India,Jharkhand,Unit 1,Jindal Patratu captive power station,,,Jindal Steel & Power Ltd,Jindal Group,660,cancelled,,,,supercritical,unknown,,,Patratu,Ramgarh,Southern Asia,Asia,South Asia,23.691349,85.272247,approximate,,iron & steel,,,,8409,"96,100",53%,2.6,104.5,40
G113410,L102267,P100789,https://www.gem.wiki/Jindal_Patratu_captive_power_station,India,Jharkhand,Unit 2,Jindal Patratu captive power station,,,Jindal Steel & Power Ltd,Jindal Group,660,cancelled,,,,supercritical,unknown,,,Patratu,Ramgarh,Southern Asia,Asia,South Asia,23.691349,85.272247,approximate,,iron & steel,,,,8409,"96,100",53%,2.6,104.5,40
G105333,L102268,P101454,https://www.gem.wiki/Jojobera_Power_Plant,India,Jharkhand,Unit 1,Jojobera Power Plant,,,Tata Power Co Ltd,Tata Group,67.5,operating,1996,,,subcritical,unknown,,Jojobera,Golmuri,East Singhbhum,Southern Asia,Asia,South Asia,22.7554,86.2491,exact,,iron & steel,power,power,,12183,"96,100",53%,0.4,5.4,14
G105334,L102268,P101454,https://www.gem.wiki/Jojobera_Power_Plant,India,Jharkhand,Unit 2,Jojobera Power Plant,,,Tata Power Co Ltd,Tata Group,120,operating,2000,,,subcritical,unknown,,Jojobera,Golmuri,East Singhbhum,Southern Asia,Asia,South Asia,22.7554,86.2491,exact,,iron & steel,power,power,,12183,"96,100",53%,0.7,12.4,18
G105335,L102268,P101454,https://www.gem.wiki/Jojobera_Power_Plant,India,Jharkhand,Unit 3,Jojobera Power Plant,,,Tata Power Co Ltd,Tata Group,120,operating,2001,,,subcritical,unknown,,Jojobera,Golmuri,East Singhbhum,Southern Asia,Asia,South Asia,22.7554,86.2491,exact,,iron & steel,power,power,,12183,"96,100",53%,0.7,13.1,19
G105336,L102268,P101454,https://www.gem.wiki/Jojobera_Power_Plant,India,Jharkhand,Unit 4,Jojobera Power Plant,,,Tata Power Co Ltd,Tata Group,120,operating,2005,,,subcritical,unknown,,Jojobera,Golmuri,East Singhbhum,Southern Asia,Asia,South Asia,22.7554,86.2491,exact,,iron & steel,power,power,,11313,"96,100",53%,0.6,14.7,23
G105337,L102268,P101454,https://www.gem.wiki/Jojobera_Power_Plant,India,Jharkhand,Unit 5,Jojobera Power Plant,,,Tata Power Co Ltd,Tata Group,120,operating,2011,,,subcritical,unknown,,Jojobera,Jamshedpur,East Singhbhum,Southern Asia,Asia,South Asia,22.7554,86.2491,exact,EC 12 Dec 2008 at http://bit.ly/1iybALj,iron & steel,power,power,,11313,"96,100",53%,0.6,18.5,29
G105338,L102268,P101454,https://www.gem.wiki/Jojobera_Power_Plant,India,Jharkhand,Unit 6,Jojobera Power Plant,,,Tata Power Co Ltd,Tata Group,120,operating,2011,,,subcritical,unknown,,Jojobera,Jamshedpur,East Singhbhum,Southern Asia,Asia,South Asia,22.7554,86.2491,exact,,iron & steel,power,power,,11313,"96,100",53%,0.6,18.5,29
G105339,L102268,P101454,https://www.gem.wiki/Jojobera_Power_Plant,India,Jharkhand,Unit 7,Jojobera Power Plant,,,Tata Power Co Ltd,Tata Group,120,operating,2011,,,subcritical,unknown,,Jojobera,Jamshedpur,East Singhbhum,Southern Asia,Asia,South Asia,22.7554,86.2491,exact,,iron & steel,power,power,,11313,"96,100",53%,0.6,18.5,29
